G.species,max.size.cm,min.dapth.m,max.depth.m,med.depth.m,depth.range,min.lat,max.lat,med.lat,lat.range
Prionace_glauca,341.8,1,350,175.5,349,-57.16046441,68.59103559,-2.744492091,125.7515
Rhizoprionodon_acutus,110,1,200,100.5,199,-31.64584849,40.91164355,3.904212434,72.55749204
Rhizoprionodon_lalandii,77,3,70,36.5,67,-27.37145206,13.52994794,-0.532469073,40.9014
Rhizoprionodon_longurio,154,1,27,14,26,-16.0717651,34.45272605,13.88340617,50.52449115
Rhizoprionodon_oligolinx,70,1,36,18.5,35,-17.72469521,30.51833343,6.332005228,48.24302864
Rhizoprionodon_porosus,108,1,500,250.5,499,-39.11785206,28.13134794,5.862248983,67.2492
Rhizoprionodon_taylori,78.4,1,110,55.5,109,-29.96482838,-8.934153937,-15.84616417,21.03067444
Rhizoprionodon_terraenovae,108.9,1,280,140.5,279,18.14718056,47.7897023,31.77726985,29.64252174
Scoliodon_laticaudus,74,1,200,100.5,199,-9.765623257,35.10455704,11.96657786,44.8701803
Scoliodon_macrorhynchos,71,1,200,100.5,199,-4,22,9,26
Triaenodon_obesus,160,1,330,165.5,329,-33.8180272,31.25954051,-0.940443491,65.07756771
Chaenogaleus_macrostoma,125,1,59,30,58,-9.635358766,30.51833343,11.10267806,40.1536922
Hemigaleus_australiensis,110,1,170,85.5,169,-28.70452829,-9.736424996,-16.65781867,18.96810329
Hemigaleus_microstoma,114,1,170,85.5,169,-10.23612503,30.00152779,8.762491379,40.23765282
Hemipristis_elongata,240,1,130,65.5,129,-36.30015447,40.95294571,6.053272913,77.25310018
Paragaleus_pectoralis,138,1,100,50.5,99,-19.80625206,35.48804794,10.98825379,55.2943
Proscyllium_habereri,65,50,100,75,50,-6.973999978,40.95294571,27.73833152,47.92694569
Gollum_attenuatus,109,129,724,426.5,595,-40.92975912,-27.36163078,-34.64884289,13.56812834
Pseudotriakis_microdon,295,200,1890,1045,1690,-48.48171585,64.42841339,19.4652961,112.9101292
Apristurus_albisoma,60,935,1564,1249.5,629,-27.59795809,-21.94980491,-24.56226311,5.64815318
Apristurus_ampliceps,86,840,1380,1110,540,-49.2177075,-33.35870493,-42.93804026,15.85900257
Apristurus_aphyodes,54,1014,1800,1407,786,45.56103559,66.21633559,59.81852677,20.6553
Apristurus_australis,61,590,1000,795,410,-45.33083212,-14.71733394,-29.44008201,30.61349818
Apristurus_brunneus,57.8,33,950,491.5,917,-4.946993737,60.09229439,31.64168369,65.03928813
Apristurus_exsanguis,90.8,1000,1200,1100,200,-54.7858833,-32.7319104,-45.10079366,22.0539729
Apristurus_fedorovi,68.3,1200,1200,1200,500,37.13764006,43.12215489,40.68187825,5.98451483
Apristurus_japonicus,71,600,800,700,200,23.0792403,36.97390486,31.19844489,13.89466456
Apristurus_kampae,59,180,1888,1034,1708,-2.008485445,42.6850102,30.20001513,44.69349565
Apristurus_laurussonii,72,560,2060,1310,1500,26.73944794,64.44744794,41.148062,37.708
Apristurus_longicephalus,60,500,1140,820,640,-27.05336116,38.29625041,16.04115139,65.34961157
Apristurus_macrorhynchus,67.4,220,1140,680,920,19.71309114,35.68694306,27.78313761,15.97385192
Apristurus_manis,85.2,658,1740,1199,1082,-29.38735206,59.40234794,38.86080436,88.7897
Apristurus_melanoasper,76.1,512,1520,1016,1008,53.87724794,60.79404794,57.46803844,6.9168
Apristurus_microps,56.7,700,2000,1350,1300,-37.60455206,61.05074794,-11.23238466,98.6553
Apristurus_pinguis,56,200,1040,620,840,-45.03179081,29.33461368,-19.91047541,74.36640449
Apristurus_platyrhynchus,85,594,985,789.5,391,-36.16760343,36.23665748,-0.54335614,72.40426091
Apristurus_profundorum,76,1500,1500,1500,500,15.95114794,61.38754794,34.81120847,45.4364
Apristurus_sinensis,50,537,537,537,300,-44.84236728,22.26455788,-3.051443637,67.10692516
Asymbolus_parvus,35.7,160,360,260,200,-21.65645046,-12.49120546,-17.48539021,9.165245
Asymbolus_rubiginosus,54.9,25,540,282.5,515,-44.98232646,-26.37350821,-36.22530081,18.60881825
Bythaelurus_canescens,124,200,700,450,500,-48.83314974,-19.57851518,-36.21256265,29.25463456
Bythaelurus_dawsoni,41.5,50,790,420,740,-54.7858833,-41.98673606,-48.82206303,12.79914724
Figaro_boardmani,61,128,823,475.5,695,-44.98232646,-23.07855251,-35.26011902,21.90377395
Galeus_arae,32.7,36,732,384,696,9.564213084,36.59914794,25.37745295,27.03493486
Galeus_atlanticus,45,330,710,520,380,34.82564794,36.69544794,35.75451952,1.8698
Galeus_eastmani,50,100,900,500,800,13.86235604,34.27280087,24.962959,20.41044483
Galeus_melastomus,67,55,2000,1027.5,1945,14.65804794,63.71514794,43.28367188,49.0571
Galeus_murinus,50,380,1731,1055.5,1351,26.38108213,68.71633559,52.45420484,42.33525346
Galeus_polli,42,160,720,440,560,-27.46515206,26.92684794,2.149030712,54.392
Galeus_sauteri,46,60,200,130,140,5.61571085,34.79100037,19.85967364,29.17528952
Halaelurus_lineatus,56,1,290,145.5,289,-32.02355206,-17.86837913,-24.58065871,14.15517293
Halaelurus_natalensis,50,1,172,86.5,171,-37.60455206,-28.85830286,-34.0772125,8.7462492
Halaelurus_sellus,42,110,250,180,140,-26.68030548,-12.1812553,-17.76783738,14.49905018
Haploblepharus_edwardsii,69,1,130,65.5,129,-37.57565206,-25.50666375,-33.01411518,12.06898831
Holohalaelurus_regani,52,40,910,475,870,-37.60455206,-10.23015206,-27.74891554,27.3744
Parmaturus_xaniurus,61,91,1251,671,1160,20.93530948,48.16926497,31.00684683,27.23395549
Atelomycterus_baliensis,52,1,100,50.5,99,-8.785496956,-8.616320492,-8.703088443,0.169176464
Atelomycterus_fasciatus,45.1,27,122,74.5,95,-22.52577782,-17.97346477,-19.85734872,4.55231305
Atelomycterus_marmoratus,70,1,100,50.5,99,-10.53231984,26.15313474,7.144772174,36.68545458
Atelomycterus_marnkalha,48.4,11,74,42.5,63,-24.21166611,-8.90344429,-15.11933193,15.30822182
Aulohalaelurus_labiosus,67,1,50,25.5,49,-36.09026667,-28.19870649,-33.21921071,7.89156018
Schroederichthys_bivius,70,14,359,186.5,345,-57.84865206,-30.00633812,-45.53862054,27.84231394
Cephaloscyllium_albipinnum,110,240,550,395,310,-45.33083212,-33.04850384,-38.80469016,12.28232828
Cephaloscyllium_hiscosellum,52,294,420,357,126,-29.89574657,-16.91120886,-22.46883168,12.98453771
Cephaloscyllium_laticeps,100,1,60,30.5,59,-45.78414364,-29.94822132,-37.2891717,15.83592232
Cephaloscyllium_silasi,36,300,300,300,200,7.75097748,17.53787732,11.99055337,9.78689984
Cephaloscyllium_umbratile,114.5,90,200,145,110,20.95836962,45.82806643,32.13175026,24.86969681
Cephaloscyllium_variegatum,74,380,590,485,210,-35.73902504,-15.95964895,-24.00158079,19.77937609
Cephaloscyllium_ventriosum,110,5,457,231,452,-35.66361521,38.15571594,16.75892959,73.81933115
Poroderma_africanum,97,1,282,141.5,281,-37.60455206,-3.441711277,-25.91659437,34.16284078
Poroderma_pantherinum,84,1,256,128.5,255,-37.60455206,-10.95975206,-25.17315824,26.6448
Scyliorhinus_canicula,71,10,300,155,290,3.45374794,65.90044794,42.07807064,62.4467
Scyliorhinus_capensis,122,26,530,278,504,-37.60455206,-19.59604256,-30.83855945,18.0085095
Scyliorhinus_retifer,59,73,754,413.5,681,12.12034794,42.6201379,28.23399767,30.49978996
Scyliorhinus_stellaris,162,1,409,205,408,-6.20565206,67.03264794,39.5714436,73.2383
Scyliorhinus_torazame,48,1,320,160.5,319,7.23E-05,41.44565875,28.60404307,41.44558645
Eusphyra_blochii,186,1,200,100.5,199,-26.06653606,30.51833343,2.566677244,56.58486949
Sphyrna_corona,92,1,200,100.5,199,-18.46195206,31.91462326,8.917794781,50.37657532
Sphyrna_lewini,331,1,275,138,274,-37.13981694,45.99613033,7.467211046,83.13594727
Sphyrna_media,150,1,200,100.5,199,-35.81345206,30.15551254,1.519830645,65.9689646
Sphyrna_mokarran,580,1,80,40.5,79,-35.98709677,41.31340027,6.80850939,77.30049704
Sphyrna_tiburo,104,1,80,40.5,79,-35.37155206,43.08685991,13.14381572,78.45841197
Sphyrna_tudes,150,5,40,22.5,35,-37.22055206,13.52994794,-7.426595222,50.7505
Sphyrna_zygaena,385,1,20,10.5,19,-54.97207803,54.1333504,9.218107613,109.1054284
Furgaleus_macki,150,1,220,110.5,219,-44.54329251,-10.98041965,-29.97294443,33.56287286
Galeorhinus_galeus,164.5,2,800,401,798,-56.12115206,73.54894794,11.63315356,129.6701
Hemitriakis_complicofasciata,96,90,100,95,10,18.28890809,27.62134653,23.73606875,9.33243844
Hemitriakis_falcata,80,146,197,171.5,51,-18.1915626,-16.23255825,-17.20976993,1.95900435
Hemitriakis_japanica,120,1,100,50.5,99,-23.69658358,40.95294571,22.34449924,64.64952929
Hemitriakis_leucoperiptera,96,1,48,24.5,47,4.736374739,20.98676522,12.20730085,16.25039048
Hypogaleus_hyugaensis,130,40,230,135,190,-39.78186861,34.79100037,-11.80765709,74.57286898
Iago_garricki,75,250,475,362.5,225,-26.71481429,18.61319153,-6.947255687,45.32800582
Iago_omanensis,58,110,2195,1152.5,2085,6.87997508,30.00152779,18.01991147,23.12155271
Mustelus_antarcticus,175,1,350,175.5,349,-44.89878191,-27.8973012,-36.51956223,17.00148071
Mustelus_asterias,150,1,100,50.5,99,25.38784794,60.65924794,42.72284274,35.2714
Mustelus_californicus,125,6,265,135.5,259,21.96781011,40.49784991,29.58155957,18.5300398
Mustelus_canis,132,10,808,409,798,-45.72105206,43.95068591,10.95155305,89.67173797
Mustelus_henlei,100,1,266,133.5,265,-17.16186046,40.75088575,17.20893984,57.91274621
Mustelus_lenticulatus,137,1,220,110.5,219,-48.03764743,-33.29044407,-41.677421,14.74720336
Mustelus_lunulatus,175,9,144,76.5,135,6.28739706,34.59430427,21.29636083,28.30690721
Mustelus_manazo,107,1,360,180.5,359,-10.81204725,46.03188582,28.43992666,56.84393307
Mustelus_mosis,150,20,250,135,230,-34.65627683,30.51833343,15.69098301,65.17461026
Mustelus_mustelus,164,1,350,175.5,349,22.77846446,61.16024794,41.70700297,38.38178348
Mustelus_norrisi,98,1,84,42.5,83,-36.22045206,30.80861855,12.86849224,67.02907061
Mustelus_palumbes,113,1,611,306,610,-37.60455206,-22.61206275,-31.6931873,14.99248931
Mustelus_punctulatus,95,1,200,100.5,199,20.54624821,45.79730606,36.107473,25.25105785
Mustelus_ravidus,101,100,300,200,200,-18.98059501,-9.027122866,-13.89720396,9.953472144
Mustelus_schmitti,109,10,165,87.5,155,-45.35005206,-28.59512164,-38.81032033,16.75493042
Mustelus_sinusmexicanus,140,36,229,132.5,193,18.14718056,29.61644794,26.57212885,11.46926738
Mustelus_stevensi,103,120,400,260,280,-24.9246276,-14.47708638,-19.036044,10.44754122
Mustelus_widodoi,110,60,120,90,60,-9.322565238,-7.419731412,-8.373593585,1.902833826
Scylliogaleus_quecketti,102,1,100,50.5,99,-34.62345206,-27.06625206,-31.14962641,7.5572
Triakis_megalopterus,208,1,50,25.5,49,-36.70525206,-13.13485206,-28.41054222,23.5704
Triakis_scyllium,150,1,200,100.5,199,20.88952401,44.51737812,34.12190884,23.62785411
Triakis_semifasciata,145,1,91,46,90,21.89098825,45.95000191,31.15966546,24.05901366
Heterodontus_francisci,120,1,152,76.5,151,21.96781016,38.61421065,28.73713716,16.64640049
Heterodontus_galeatus,150,1,93,47,92,-32.50643261,-21.31025459,-25.79406894,11.19617802
Heterodontus_mexicanus,70,1,50,25.5,49,-22.98399935,31.91462326,6.977702165,54.89862261
Heterodontus_portusjacksoni,123,1,275,138,274,-45.33083212,-26.88899591,-36.07353508,18.44183621
Heterodontus_zebra,122,50,200,125,150,-21.11947326,42.23533249,15.45011919,63.35480575
Alopias_pelagicus,365.2,1,152,76.5,151,-33.28018016,37.20434841,0.860527348,70.48452857
Alopias_superciliosus,422,1,723,362,722,-42.1690519,57.12478431,1.679024642,99.29383621
Alopias_vulpinus,630,1,366,183.5,365,-57.95270771,66.44777127,-3.567309217,124.400479
Cetorhinus_maximus,1276,1,2000,1000.5,1999,-57.86686631,73.31808196,5.345831237,131.1849483
Carcharodon_carcharias,600,1,1300,650.5,1299,-59.47553742,66.08294865,-1.617468216,125.5584861
Isurus_oxyrinchus,385,1,500,250.5,499,-49.4644375,60.27072933,2.426769391,109.7351668
Isurus_paucus,426.5,1,200,100.5,199,-38.47638165,46.72880915,4.643004218,85.2051908
Lamna_ditropis,257.3,1,650,325.5,649,29.01809169,66.3916626,45.52797524,37.37357091
Lamna_nasus,324.3,1,370,185,370,-66.79981429,76.85404885,-29.03244976,143.6538631
Megachasma_pelagios,550,5,166,85.5,161,-45.07779339,42.1948136,-1.790861955,87.27260699
Mitsukurina_owstoni,550,30,1300,665,1270,-43.0694576,48.38200527,1.95667539,91.45146287
Carcharias_taurus,316,1,191,96,190,-48.44473688,45.79730606,4.011939722,94.24204294
Odontaspis_noronhai,427,35,1000,517.5,965,-35.51306441,40.04943559,1.682926146,75.5625
Pseudocarcharias_kamoharai,122,1,590,295.5,589,-35.37956441,40.95293559,0.901902794,76.3325
Brachaelurus_colcloughi,75.5,5,100,52.5,95,-28.95833916,-19.75850489,-22.84698069,9.19983427
Brachaelurus_waddi,120,1,140,70.5,139,-35.17706597,-27.57822519,-31.57310501,7.59884078
Ginglymostoma_cirratum,265,1,130,65.5,129,-23.95445206,45.96644794,15.17257068,69.9209
Nebrius_ferrugineus,320,1,70,35.5,69,-34.29471757,35.68694306,1.249016882,69.98166063
Pseudoginglymostoma_brevicaudatum,70,1,100,50.5,99,-26.50825206,-0.871547331,-15.41980028,25.63670473
Chiloscyllium_griseum,77,5,80,42.5,75,-11.67039026,36.14687763,7.635718561,47.81726789
Chiloscyllium_hasseltii,61,1,12,6.5,11,-9.6966708,21.51132077,4.986274466,31.20799157
Chiloscyllium_indicum,65,1,100,50.5,99,-18.66913598,38.28809649,8.156400068,56.95723247
Chiloscyllium_plagiosum,95,1,100,50.5,99,-26.61351289,34.79100037,7.192666154,61.40451326
Chiloscyllium_punctatum,118,1,85,43,84,-29.37777691,34.79100037,2.665634945,64.16877728
Hemiscyllium_ocellatum,100,1,40,20.5,39,-33.94541622,1.006225314,-12.53474411,34.95164153
Eucrossorhinus_dasypogon,125,1,40,20.5,39,-26.59151808,0.832413497,-11.84231858,27.42393158
Orectolobus_floridus,75,42,85,63.5,43,-35.4778913,-28.81219938,-32.49175795,6.66569192
Orectolobus_hutchinsi,149,1,106,53.5,105,-36.30015447,-23.05212138,-30.51672021,13.24803309
Orectolobus_japonicus,118,1,200,100.5,199,5.406306941,40.95294571,24.20365938,35.54663877
Orectolobus_maculatus,170,1,218,109.5,217,-39.58815624,-16.18466197,-31.78663732,23.40349427
Orectolobus_ornatus,110,1,100,50.5,99,-34.39234957,-14.60893297,-23.59928958,19.7834166
Orectolobus_parvimaculatus,94,9,135,72,126,-33.08499913,-26.79469904,-29.74103264,6.29030009
Sutorectus_tentaculatus,92,1,100,50.5,99,-36.09026672,-26.76593052,-33.15631548,9.3243362
Parascyllium_collare,87,20,160,90,140,-37.66506482,-25.75041693,-31.75736392,11.91464789
Rhincodon_typus,2100,1,700,350.5,699,-40.29546441,44.46363559,1.238605664,84.7591
Stegostoma_fasciatum,235,1,62,31.5,61,-35.31058855,34.79100037,1.526806714,70.10158892
Chlamydoselachus_anguineus,196,100,1500,800,1400,-47.72764002,72.93714837,16.44477055,120.6647884
Heptranchias_perlo,140,1,1000,500.5,999,-46.97214247,49.42416729,1.331035557,96.39630976
Hexanchus_griseus,600,500,1875,1187.5,1375,-53.66155624,68.55149841,12.97473975,122.2130547
Notorynchus_cepedianus,291,1,136,68.5,135,-57.61562783,56.79211426,-12.08206916,114.4077421
Pliotrema_warreni,136,37,500,268.5,463,-37.60455206,-23.44945206,-32.09713925,14.1551
Pristiophorus_cirratus,149,40,310,175,270,-45.33083212,-28.80450913,-36.60146425,16.52632299
Pristiophorus_japonicus,153,50,800,425,750,22.80708844,42.60326277,33.37201073,19.79617433
Pristiophorus_nudipinnis,124,1,165,83,164,-44.89878191,-31.46841621,-37.73637807,13.4303657
Centrophorus_atromarginatus,94,150,450,300,300,-9.60891807,35.68694306,13.69873824,45.29586113
Centrophorus_granulosus,128,100,1200,650,100,-45,60,7.5,105
Centrophorus_harrissoni,112,220,1050,635,830,-45.30381914,-24.67081006,-35.09584653,20.63300908
Centrophorus_isodon,93,760,770,765,10,-10.02933353,26.5328692,8.477308058,36.56220273
Centrophorus_moluccensis,100,125,820,472.5,695,-38.41848724,34.64726459,-11.75392953,73.06575183
Centrophorus_squamosus,145,230,4000,2115,3770,-47.29317173,65.60251687,1.194491504,112.8956886
Centrophorus_zeehaani,144,208,701,454.5,493,-50,2,-24,52
Deania_calcea,119,70,1450,760,1380,-48.16496797,64.62433952,-0.039447167,112.7893075
Deania_hystricosa,111,471,1900,1185.5,1429,-31.43486845,35.68694306,14.58237361,67.12181151
Deania_profundorum,104,275,1785,1030,1510,-30.43572322,34.88406504,7.014981973,65.31978826
Deania_quadrispinosa,118,150,1360,755,1210,-44.89878191,-17.70561688,-33.8641583,27.19316503
Dalatias_licha,182,37,1800,918.5,1763,-47.66423177,60.25856299,13.33014257,107.9227948
Euprotomicrus_bispinatus,26.5,1,1800,900.5,1799,-59.62802491,38.61781007,-7.165176382,98.24583498
Isistius_brasiliensis,50,1,3700,1850.5,3699,-32.90235305,34.40543623,1.225628892,67.30778928
Squaliolus_aliae,22,1,2000,1000.5,1999,-34.70158166,35.10455704,17.62620226,69.8061387
Squaliolus_laticaudus,28,10,1800,905,1790,-39.67787579,48.54718442,3.799652754,88.22506021
Aculeola_nigra,60,110,735,422.5,625,-31.40264578,-5.964765834,-16.89636707,25.43787995
Centroscyllium_fabricii,100,180,2250,1215,2070,-36.70045206,72.96695308,42.99653604,109.6674051
Centroscyllium_granulatum,61.5,400,500,450,100,-54.09285206,-24.65105206,-44.47529399,29.4418
Centroscyllium_nigrum,50,250,1250,750,1000,-30.34503246,34.54646343,6.203200993,64.89149589
Centroscyllium_ritteri,43,150,1100,625,950,31.40761869,45.59761624,38.22258396,14.18999755
Etmopterus_bigelowi,67,160,1000,580,840,-41.33747703,29.30362294,-11.39459296,70.64109997
Etmopterus_brachyurus,50,100,900,500,800,-30.05852193,35.86903098,18.84229389,65.92755291
Etmopterus_dianthus,41,708,880,794,172,-23.91505967,-16.40068534,-19.52385091,7.51437433
Etmopterus_dislineatus,45,590,700,645,110,-25.10569633,-15.49590896,-19.16489662,9.60978737
Etmopterus_fusus,30,430,550,490,120,-20.40664851,-17.36842436,-18.81656265,3.03822415
Etmopterus_gracilispinis,33,70,2240,1155,2170,-45.79185206,39.00554794,-19.97014504,84.7974
Etmopterus_granulosus,60,220,637,428.5,417,-57.84865206,-44.90790035,-51.87185262,12.94075171
Etmopterus_lucifer,42,158,1357,757.5,1199,-55.12992495,37.91044617,-19.40403594,93.04037112
Etmopterus_molleri,46,238,655,446.5,417,-54.78588334,45.78176632,-12.70380694,100.5676497
Etmopterus_polli,24.1,300,1000,650,700,-17.60745206,13.61534794,2.721945984,31.2228
Etmopterus_princeps,75,350,4500,2425,4150,14.72594584,68.61875153,47.29097039,53.89280569
Etmopterus_pseudosqualiolus,45,1043,1102,1072.5,59,-26.74895417,-22.61983018,-24.88354914,4.12912399
Etmopterus_pusillus,50.2,150,1998,1074,1848,-48.03539702,43.00592424,-7.124478383,91.04132126
Etmopterus_schultzi,30,220,915,567.5,695,21.31944794,30.80861855,27.26086436,9.48917061
Etmopterus_sentosus,27,200,500,350,300,-33.57955206,1.64844794,-16.30965954,35.228
Etmopterus_sheikoi,43,340,370,355,30,24.99204916,27.00131373,25.95820976,2.00926457
Etmopterus_spinax,45,70,2000,1035,1930,-4.02575206,68.89014794,44.51189778,72.9159
Etmopterus_splendidus,30,120,793,456.5,673,23.54856657,32.66491759,28.14454818,9.11635102
Etmopterus_unicolor,69,402,1380,891,978,-48.93144876,38.04529932,-31.70640233,86.97674808
Etmopterus_virens,26,196,915,555.5,719,7.898654938,30.80861855,19.91941864,22.90996361
Trigonognathus_kabeyai,44,270,360,315,90,15.75098997,35.10455704,29.14295696,19.35356707
Oxynotus_bruniensis,91,45,1067,556,1022,-49.79925791,-30.30930217,-39.91286865,19.48995574
Oxynotus_centrina,150,60,660,360,600,-36.89665206,69.28194794,31.33716127,106.1786
Oxynotus_paradoxus,118,265,720,492.5,455,16.36744794,60.35854794,43.19126013,43.9911
Centroscymnus_coelolepis,120,270,3700,1985,3430,-45.65780497,68.61875153,19.31314575,114.2765565
Centroscymnus_owstonii,120,250,1500,875,1250,-48.04445319,40.62883676,-16.4461934,88.67328995
Centroselachus_crepidater,99.5,270,1300,785,1030,-48.30152273,64.79644012,8.778195213,113.0979629
Proscymnodon_plunketi,170,200,1500,850,1300,-54.54769654,-32.59390342,-44.23093867,21.95379312
Scymnodon_ringens,110,200,1600,900,1400,-48.33017605,60.36972965,26.28557121,108.6999057
Somniosus_antarcticus,600,400,1100,750,700,-56.54634673,-32.01722474,-46.34750937,24.52912199
Somniosus_microcephalus,700,1,2200,1100.5,2199,28.64594794,86.90544794,69.73909385,58.2595
Somniosus_pacificus,700,1,2000,1000.5,1999,20.46724201,79.97125184,56.01632016,59.50400983
Somniosus_rostratus,143,80,2200,1140,2120,22.67294794,48.64894794,36.7765704,25.976
Zameus_squamulosus,84,1,1450,725.5,1449,-47.8503278,65.7928243,-0.366311269,113.6431521
Cirrhigaleus_asper,118,73,600,336.5,527,-36.33685206,36.55074794,5.049858181,72.8876
Cirrhigaleus_australis,123,360,640,500,280,-47.21852468,-34.06665108,-39.90696931,13.1518736
Cirrhigaleus_barbifer,126,146,640,393,494,-9.876497785,35.68694306,24.09701526,45.56344085
Squalus_acanthias,110,1,600,300.5,599,-57.24737659,72.58384705,26.52980763,129.8312236
Squalus_brevirostris,59,100,350,225,250,10.42072809,33.52025786,24.71195194,23.09952977
Squalus_chloroculus,99,216,1360,788,1144,-45.33083212,-33.04850384,-38.94916708,12.28232828
Squalus_crassispinus,58,180,210,195,30,-21.79125187,-14.53154013,-17.92493386,7.25971174
Squalus_cubensis,110,60,380,220,320,-43.01915206,39.58261108,6.423282295,82.60176314
Squalus_edmundsi,87,204,850,527,646,-33.38689146,-7.514772672,-22.10180174,25.87211879
Squalus_grahami,73,120,500,310,380,-34.818947,-10.94291046,-22.1251001,23.87603654
Squalus_hemipinnis,74,100,350,225,250,-9.6966708,-5.625274578,-7.776031354,4.071396222
Squalus_japonicus,95,52,400,226,348,12.16577032,40.95294571,28.39138755,28.78717539
Squalus_megalops,78.2,1,732,366.5,731,-45.42002304,43.58150101,-8.477533558,89.00152405
Squalus_mitsukurii,91,4,954,479,950,9.983636864,44.58400873,30.22466639,34.60037187
Squalus_montalbani,101,154,1370,762,1216,-34.8723529,19.69473718,-14.64523756,54.56709008
Squalus_nasutus,77,300,510,405,210,-30.99443172,20.20811054,-7.952461245,51.20254226
Squalus_suckleyi,140,1,1236,618.5,1235,22,66,44,44
Squatina_aculeata,188,30,500,265,470,-17.20945206,44.43041611,22.19733147,61.63986817
Squatina_africana,122,1,500,250.5,499,-34.50155206,-3.94425206,-20.94559774,30.5573
Squatina_albipunctata,130,60,315,187.5,255,-39.26970238,-14.71733394,-23.1752524,24.55236844
Squatina_armata,150,30,75,52.5,45,-47.63314645,7.573249452,-20.98717097,55.2063959
Squatina_australis,152,1,130,65.5,129,-44.54329251,-29.46220701,-36.25902675,15.0810855
Squatina_californica,175,1,200,100.5,199,22.23813807,56.94395282,39.41610138,34.70581475
Squatina_dumeril,152,1,1290,645.5,1289,9.039463997,43.77193805,26.33712112,34.73247405
Squatina_formosa,150,100,300,200,200,20.91058058,26.46482494,23.69741561,5.55424436
Squatina_guggenheim,82,10,150,80,140,-40.51555206,-22.67971992,-32.21498206,17.83583214
Squatina_japonica,150,200,300,250,100,7.23E-05,41.87838272,33.66494221,41.87831042
