species.ID,subclass,superorder,order,family,genus,species,IUCN_Scientific_name,Recent.taxonomic.revisions,size.at.mat,max.size,pup.size,length.weight.a,length.weight.b,habitat,IUCN.habitat,mindepth_m,maxdepth_m,mediandepth_m,depthrange_m,min.lat,max.lat,lat.range,area,age.mat,max.age,k,parity.mode,embryo.trophic.mode,repro.coarse,mode,breeding.interval,development,litter.size,median.ED,Red.List.status.new,Data.type,Species.authorship
Hemitrygon_laosensis,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_laosensis,Dasyatis laosensis,Hemitrygon laosensis,NA,NA,NA,0.0331,3.02,Freshwater,Freshwater,1,50,25.5,49,NA,NA,NA,50485.3008,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,19.4090024,EN,molecular,Roberts & Karnasuta 1987 
Bathytoshia_lata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_lata,Dasyatis lata,Bathytoshia lata,104.9,133,35,0.0331,3.02,Shelf,Coastal and Continental,40,357,198.5,317,17.96164604,24.04911201,6.087465967,230907,15,28,0.12,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,3.5,17.66536849,LC,molecular,Garman 1880 
Hypanus_longus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_longa,Dasyatis longa,Hypanus longus,110,156,40,1.82E-05,3.0978,Shelf,Coastal and Continental,1,90,45.5,89,-3.061334133,27.92711555,30.98844968,310644,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,10.5,3,30.7377345,NA,molecular,Garman 1880 
Fontitrygon_margarita,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_margarita,Dasyatis margarita,Fontitrygon margarita,NA,100,NA,0.0331,3.02,Shelf,Coastal and Continental,1,60,30.5,59,-5.083214559,16.06863992,21.15185448,686345,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1.5,43.72298288,EN,molecular,Last et al 2016
Fontitrygon_margaritella,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_margaritella,Dasyatis margaritella,Fontitrygon margaritella,NA,30,NA,0.0331,3.02,Shelf,Coastal and Continental,1,60,30.5,59,-5.055114559,21.27658081,26.33169537,745303,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1.5,43.72298288,notTHR,molecular,Compagno & Roberts 1984 
Megatrygon_microps,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_microps,Dasyatis microps,Megatrygon microps,NA,222,NA,0.0331,3.02,Shelf,Coastal and Continental,1,200,100.5,199,-26.90023297,24,50.90023297,1797650,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,85.50702947,NA,molecular,Annandale 1908 
Hemitrygon_navarrae,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_navarrae,Dasyatis navarrae,Hemitrygon navarrae,38,NA,NA,0.0331,3.02,Shelf,Coastal and Continental,1,100,50.5,99,21.65942254,30.8726387,9.213216162,96400,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,15.11588596,THR,molecular,Steindachner 1892 
Hemitrygon_parvonigra,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_parvonigra,Dasyatis parvonigra,Hemitrygon parvonigra,35,52,NA,0.0331,3.02,Shelf,Coastal and Continental,125,185,155,60,-19.6355958,-16.99609474,2.639501056,72267.7969,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,24.57817863,notTHR,molecular,Last & White 2008 
Dasyatis_pastinaca,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_pastinaca,Dasyatis pastinaca,,24,51,NA,0.0739,2.81,Shelf,Coastal and Continental,1,200,100.5,199,16.11472019,59.3393898,43.22466962,2391480,3.7,10,0.089,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4,6.5,34.40402044,THR,molecular,Linnaeus 1758 
Hypanus_sabinus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_sabina,Dasyatis sabina,Hypanus sabinus,22,45,12,0.0331,3.02,Shelf,Coastal and Continental,1,25,13,24,18.14718056,37.55350494,19.40632439,734381,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4,2.5,46.941643,LC,molecular,Lesueur 1824 
Hypanus_say,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_say,Dasyatis say,Hypanus say,52,78,16,0.0331,3.02,Shelf,Coastal and Continental,1,20,10.5,19,-8.937269469,41.80683899,50.74410846,2295950,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,10.5,3.5,35.55348939,LC,molecular,Lesueur 1817 
Telatrygon_zugei,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_zugei,Dasyatis zugei,Telatrygon zugei,19.1,29,9,0.0331,3.02,Shelf,Coastal and Continental,1,100,50.5,99,-9.025625791,37.81183282,46.83745861,1211390,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Yolk-sac Live-bearing,NA,NA,2.5,45.8475437,NT,molecular,MÙller & Henle 1841 
Maculabatis_astra,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_astra,Himantura astra,Maculabatis astra,43.5,80,19,0.0848,2.72,Shelf,Coastal and Continental,1,141,71,140,-28.28149986,-1.156835933,27.12466393,2310680,9,29.5,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,2,18.26397572,LC,molecular,"Last, Manjaji-Matsumoto & Pogonoski 2008 "
Pateobatis_fai,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_fai,Himantura fai,Pateobatis fai,115,184,42.5,0.0848,2.72,Shelf,Coastal and Continental,1,200,100.5,199,-27.66690353,28.68271683,56.34962036,4587090,8.7,29,0.04,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,12,3,32.84322405,LC,molecular,Jordan & Seale 1906 
Maculabatis_gerrardi,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_gerrardi,Himantura gerrardi,Maculabatis gerrardi ,54,100,19.5,0.0848,2.72,Shelf,Coastal and Continental,20,60,40,40,-12.01303548,27.60717538,39.62021086,6593640,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,3,32.78912901,VU,molecular,Gray 1851 
Urogymnus_granulatus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_granulata,Himantura granulata,Urogymnus granulatus,60,141,21,0.0848,2.72,Shelf,Coastal and Continental,1,85,43,84,-27.52713966,10.80504006,38.33217972,1842170,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,33.73223536,NT,molecular,Macleay 1883 
Pateobatis_hortlei,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_hortlei,Himantura hortlei,Pateobatis hortlei,NA,70.7,NA,0.0848,2.72,Shelf,Coastal and Continental,1,10,5.5,9,-8.622330975,-4.411388874,4.2109421,23145.8008,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,32.81798038,VU,molecular,"Last, Manjaji-Matsumoto & Kailola 2006 "
Brevitrygon_imbricata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_imbricata,Himantura imbricata,Brevitrygon imbricata,NA,22,10,0.0848,2.72,Shelf,Coastal and Continental,NA,NA,NA,NA,-20.91506846,28.16771365,49.08278211,991328,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,17.66536849,NA,molecular,Bloch & Schneider 1801 
Pateobatis_jenkinsii,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_jenkinsii,Himantura jenkinsii,Pateobatis jenkinsii,70,104,23.5,0.0848,2.72,Shelf,Coastal and Continental,1,100,50.5,99,-30.79610912,23.42062909,54.2167382,4433530,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,25.75527316,LC,molecular,Annandale 1909 
Himantura_leoparda,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_leoparda,Himantura leoparda,,82.5,140,20,0.0848,2.72,Shelf,Coastal and Continental,1,70,35.5,69,-23.01569994,30.47479902,53.49049896,7052840,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,32.30790309,VU,molecular,Manjaji-Matsumoto & Last 2008 
Urogymnus_lobistoma,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_lobistoma,Himantura lobistoma,Urogymnus lobistoma,70,100,18,0.0848,2.72,Shelf,Coastal and Continental,1,30,15.5,29,-4.052435271,3.744657097,7.797092368,166992,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,51.1613375,VU,molecular,Manjaji-Matsumoto & Last 2006 
Fluvitrygon_oxyrhynchus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_oxyrhyncha,Himantura oxyrhyncha,Fluvitrygon oxyrhynchus,NA,37,9,0.0848,2.72,Freshwater,Freshwater,1,50,25.5,49,NA,NA,NA,113633,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,34.47439565,EN,molecular,Sauvage 1878 
Stryacura_pacifica,batoids,Batoidea,Myliobatiformes,Potamotrygonidae,Himantura,Himantura_pacifica,,Styracura pacifica in the family Potamotrygonidae,NA,60,NA,0.0848,2.72,Shelf,Coastal and Continental,1,200,100.5,199,NA,NA,NA,NA,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,46.84944887,notTHR,molecular,Beebe & Tee-Van 1941 
Maculabatis_pastinacoides,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_pastinacoides,Himantura pastinacoides,Maculabatis pastinacoides,58,100,15.5,0.0848,2.72,Shelf,Coastal and Continental,1,30,15.5,29,-4.969363289,7.95914865,12.92851194,631050,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1,25.96005524,VU,molecular,Bleeker 1852 
Urogymnus_polylepis,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_polylepis,Himantura polylepis,Urogymnus polylepis,NA,200,30,0.0848,2.72,Freshwater,Freshwater,1,50,25.5,49,-17.86208784,19.79643909,37.65852693,519259,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1,33.37735476,EN,molecular,Bleeker 1852
Stryacura_schmardae,batoids,Batoidea,Myliobatiformes,Potamotrygonidae,Himantura,Himantura_schmardae,Himantura schmardae,Styracura schmardae in the family Potamotrygonidae,NA,200,NA,0.0848,2.72,Shelf,Coastal and Continental,NA,NA,NA,NA,4.171101093,24.06378544,19.89268435,2154900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,46.84944887,NA,molecular,Werner 1904 
Fluvitrygon_signifer,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_signifer,Himantura signifer,Fluvitrygon signifer,25.5,37,11.5,0.0848,2.72,Freshwater,Freshwater,1,50,25.5,49,NA,NA,NA,204.218,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,34.46017444,EN,molecular,Compagno & Roberts 1982 
Maculabatis_toshi,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_toshi,Himantura toshi,Maculabatis toshi,NA,74,NA,0.0848,2.72,Shelf,Coastal and Continental,10,140,75,130,-29.37848199,-9.918291093,19.46019089,761158,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,18.26397572,LC,molecular,Whitley 1939 
Pateobatis_uarnacoides,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_uarnacoides,Himantura uarnacoides,Pateobatis uarnacoides,NA,119,18,0.0848,2.72,Shelf,Coastal and Continental,1,30,15.5,29,-7.792139053,24,31.79213905,1089430,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,25.6302371,VU,molecular,Bleeker 1852 
Himantura_uarnak,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_uarnak,Himantura uarnak,,NA,160,24.5,0.0848,2.72,Shelf,Coastal and Continental,1,50,25.5,49,-33.10238843,33.45457602,66.55696445,4244690,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,2,26.77168869,VU,molecular,Gmelin 1789 
Himantura_undulata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_undulata,Himantura undulata,,NA,130,64.5,0.0848,2.72,Shelf,Coastal and Continental,1,100,50.5,99,-22.52577782,28.82822244,51.35400025,1937950,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,26.7920151,VU,molecular,Bleeker 1852 
Brevitrygon_walga,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_walga,Himantura walga,Brevitrygon walga,17,24,9,0.0848,2.72,Shelf,Coastal and Continental,1,50,25.5,49,-8.018409675,13.53374958,21.55215925,97450.1016,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1.5,24.16520295,NT,molecular,MÙller & Henle 1841 
Neotrygon_annotata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon_annotata,Neotrygon annotata,,23.3,45,NA,0.034,2.989,Shelf,Coastal and Continental,12,62,37,50,-17.72469521,-7.264277935,10.46041727,522244,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1.5,45.51953512,NT,molecular,Last 1987 
Neotrygon_kuhlii,batoids,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon_kuhlii,Neotrygon kuhlii,,30,43.5,14,0.034,2.989,Shelf,Coastal and Continental,1,90,45.5,89,-32.41935336,48.56981037,80.98916373,9067710,6.32,13,0.2205,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4,1.67,42.50031363,NA,molecular,MÙller & Henle 1841 
Neotrygon_leylandi,batoids,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon_leylandi,Neotrygon leylandi,,NA,27,NA,0.034,2.989,Shelf,Coastal and Continental,1,75,38,74,-26.64658356,-17.90380656,8.742777002,187947,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,2,31.71192436,LC,molecular,Last 1987 
Neotrygon_ningalooensis,batoids,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon_ningalooensis,Neotrygon ningalooensis,,NA,30.2,NA,0.034,2.989,Shelf,Coastal and Continental,1,5,3,4,-23.13477657,-22.52905529,0.605721272,3268.6799,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,43.77911922,THR,molecular,"Last, White & Puckridge 2010 "
Neotrygon_picta,batoids,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon_picta,Neotrygon picta,,18.1,32,NA,0.034,2.989,Shelf,Coastal and Continental,5,96,50.5,91,-25.99908256,-7.264277935,18.73480463,842112,3.5,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,2,31.72471151,LC,molecular,Last & White 2008 
Pastinachus_ater,batoids,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus_atrus,,Pastinachus ater,NA,200,18,0.0269,3.02,Shelf,Coastal and Continental,1,60,30.5,59,NA,NA,NA,NA,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,39.0044488,notTHR,molecular,Macleay 1883 
Pastinachus_gracilicaudus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus_gracilicaudus,,,NA,83,30,0.0269,3.02,Shelf,Coastal and Continental,1,60,30.5,59,NA,NA,NA,NA,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,32.1946308,notTHR,molecular,Last & Manjaji-Matsumoto 2010 
Pastinachus_sephen,batoids,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus_sephen,Pastinachus sephen,,100,149,18,0.0269,3.02,Shelf,Coastal and Continental,1,60,30.5,59,NA,NA,NA,11100600,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,32.1946308,THR,molecular,ForskÎl 1775 
Pastinachus_solocirostris,batoids,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus_solocirostris,Pastinachus solocirostris,,55,72,22.5,0.0269,3.02,Shelf,Coastal and Continental,1,30,15.5,29,-6.11929101,6.147411083,12.26670209,138077,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1,39.52837465,EN,molecular,"Last, Manjaji & Yearsley 2005 "
Pastinachus_stellurostris,batoids,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus_stellurostris,,,NA,43,NA,0.0269,3.02,Shelf,Coastal and Continental,1,60,30.5,59,NA,NA,NA,NA,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,39.52837465,notTHR,molecular,"Last, Fahmi & Naylor 2010 "
Pteroplatytrygon_violacea,batoids,Batoidea,Myliobatiformes,Dasyatidae,Pteroplatytrygon,Pteroplatytrygon_violacea,Pteroplatytrygon violacea,,45,96,18,0.0219,3.006,Pelagic,Pelagic,1,238,119.5,237,-48.91881456,53.24238544,102.1612,5309770,3,24,0.41,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,3,4.5,37.15411531,LC,molecular,Bonaparte 1832 
Taeniura_lymma,batoids,Batoidea,Myliobatiformes,Dasyatidae,Taeniura,Taeniura_lymma,Taeniura lymma,,22,35,13.5,0.0269,3.02,Shelf,Coastal and Continental,1,20,10.5,19,-30.53498453,30.51833343,61.05331797,2682760,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,8,7,69.12650228,NT,molecular,ForskÎl 1775 
Taeniurops_grabatus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Taeniurops,Taeniurops_grabata,Taeniurops grabata,Taeniurops grabatus,NA,100,NA,0.0269,3.02,Shelf,Coastal and Continental,10,300,155,290,-17.14289199,45.49548544,62.63837743,2596280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,50.62320166,notTHR,molecular,Geoffroy Saint-Hilaire 1817 
Taeniurops_meyeni,batoids,Batoidea,Myliobatiformes,Dasyatidae,Taeniurops,Taeniurops_meyeni,Taeniurops meyeni,,NA,180,32.5,0.0269,3.02,Deep,Coastal and Continental,1,439,220,438,-32.32740946,40.95294571,73.28035517,12682100,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,4.5,50.62320166,VU,molecular,MÙller & Henle 1841 
Urogymnus_asperrimus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Urogymnus,Urogymnus_asperrimus,Urogymnus asperrimus,,100,147,NA,0.0269,3.02,Shelf,Coastal and Continental,1,100,50.5,99,-31.71738507,30.51833343,62.23571851,7866310,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,28.6711283,VU,molecular,Bloch & Schneider 1801 
Urogymnus_dalyensis,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura,Himantura_dalyensis,Himantura dalyensis,Urogymnus dalyensis,NA,NA,NA,NA,NA,,,1,15,8,14,-17.56649904,NA,10.3022211,30832.5,NA,NA,NA,,,,,NA,NA,NA,25.01585184,,taxonomic,Last & Manjaji-Matsumoto 2008 
Gymnura_altavela,batoids,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura_altavela,Gymnura altavela,,102,220,41,0.0268,2.96,Shelf,Coastal and Continental,10,150,80,140,-42.44340515,45.79730606,88.24071121,3914150,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,6.5,5,42.70703569,VU,molecular,Linnaeus 1758 
Gymnura_australis,batoids,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura_australis,Gymnura australis,,NA,73,NA,0.0268,2.96,Shelf,Coastal and Continental,1,50,25.5,49,-33.7881634,-3.289188925,30.49897448,1678770,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,48.05725783,LC,molecular,Ramsay & Ogilby 1886 
Gymnura_crebripunctata,batoids,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura_crebripunctata,Gymnura crebripunctata,,NA,81.2,NA,0.0268,2.96,Shelf,Coastal and Continental,1,30,15.5,29,-19.15065694,32.62779353,51.77845047,1050690,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,42.68387959,THR,molecular,Peters 1869 
Gymnura_japonica,batoids,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura_japonica,Gymnura japonica,,NA,145,12.4,0.0268,2.96,Shelf,Coastal and Continental,NA,NA,NA,NA,1.031805491,42.68949421,41.65768872,1420840,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,5,48.47224135,NA,molecular,Temminck & Schlegel 1850 
Gymnura_marmorata,batoids,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura_marmorata,Gymnura marmorata,,62,150,23.5,0.0268,2.96,Shelf,Coastal and Continental,1,22,11.5,21,-5.086193085,34.47647476,39.56266785,433157,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,10,42.65530337,LC,molecular,Cooper 1864 
Gymnura_micrura,batoids,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura_micrura,Gymnura micrura,,50,120,19,0.0268,2.96,Shelf,Coastal and Continental,1,40,20.5,39,-23.76831456,38.37613296,62.14444752,2929140,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,7,42.46959177,NA,molecular,Bloch & Schneider 1801 
