G.species,Length_cm,body.mass.kg,sex,tag_id,tag_project_name,tag.type,num_det,days_det,num_stations,DI,ReleaseDate,release_latitude,release_longitude,days.at.liberty,mcp,bbk50,bbk95,dis_min,dis_25,dis_50,dis_75,dis_max,dis_mean,dis_sd,Habitat,Trophic.group,Trophic.group2,subclass,superorder,order,family,Genus,species,IUCN_Scientific_name,size.at.mat,max.size,pup.size,length.weight.a,length.weight.b,habitat,habitat2,min.depth,max.depth,median.depth,range.depth,min.lat,max.lat,range.lat,area,age.mat,max.age,k,bearing.mode,trophic.mode,repro.coarse,mode,breeding.interval,development,litter.size,median.ED,Red.List.status.new,ecomorpho.compagno,ecomorphotype,lifestyle,ecomorph.life
Dasyatis_fluviorum,53,1.827028514,F,69918595,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,392,22,7,0.013605442,3/25/13,-35.6869,150.1283,1617.000021,9470780.845,3073977.822,17745982.01,0,0,0,0,2.374454439,0.117769779,0.425503022,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,47,1.268014354,F,69918591,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,1457,30,7,0.018552876,3/16/13,-35.6869,150.1283,1616.999973,9858206.421,7770048.325,38784914.81,0,0,0,0,4.262041549,0.078320138,0.40947322,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,39,0.719089731,F,69918575,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,885,31,7,0.019171305,1/29/13,-35.6869,150.1283,1616.99999,9858206.421,3231756.005,21792257.2,0,0,0,0,3.383458295,0.08940699,0.398201354,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,43,0.967588697,F,69918563,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,1370,44,9,0.027210884,1/17/13,-35.6869,150.1283,1617.000021,19820603.91,3374308.783,18786412.4,0,0,0,0,4.262041549,0.104524864,0.435276307,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,34.5,0.495355205,F,69918599,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,2044,45,9,0.027829314,3/23/13,-35.6869,150.1283,1616.999973,19820603.91,1464615.622,7488688.357,0,0,0,0,3.383458295,0.028292436,0.226949304,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,52.5,1.775133271,F,69918587,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,4877,64,9,0.039579468,3/15/13,-35.6869,150.1283,1617.000006,19820603.91,1630225.869,13787053.06,0,0,0,0,5.583079434,0.024722777,0.227803638,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,41,0.837162191,F,69918571,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,4073,97,14,0.059987631,1/29/13,-35.6869,150.1283,1617.000011,38614424.37,731825.1349,6862586.643,0,0,0,0,3.85086166,0.029141191,0.215930704,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,37,0.612745207,F,69918567,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,8306,104,20,0.064316636,1/29/13,-35.6869,150.1283,1616.999994,52593139.87,3113383.416,20459376.73,0,0,0,0,3.383458295,0.040573861,0.241686352,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,37.5,0.638266037,F,83276045,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,175,16,7,0.183908046,4/5/13,-35.6869,150.1283,86.99999999,5717234.66,4827721.579,23194410.65,0,0,0,0,4.262041549,0.203272498,0.593591234,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,54,1.933854127,F,83276056,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,176,18,7,0.339622642,4/6/13,-35.6869,150.1283,52.99999992,9470780.845,423657.1998,5591289.788,0,0,0,0,3.499640681,0.139965074,0.525482343,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,34,0.47385186,F,83276010,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,1213,47,8,0.405172414,3/23/13,-35.6869,150.1283,115.9999999,12479915.09,228413.6534,5369875.701,0,0,0,0,3.144274246,0.023729352,0.211135748,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Glaucostegus_typus,225,103.3386479,F,19979430,AATAMS / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA),PassAcoustic,9,1,1,0.001356852,2/27/08,-21.9688,113.939,737.000056,NA,NA,NA,0,0,0,0,77.05618286,8.561798096,25.68539429,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,155,33.1602483,F,117394007,Giant Shovelnose Moreton Bay,PassAcoustic,3,1,1,0.001949318,3/3/15,-27.4235,153.4295,512.9999313,NA,NA,NA,0,0,0,4.467940674,8.935881348,2.978627116,5.159133502,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,97,7.938891819,F,117394034,Giant Shovelnose Moreton Bay,PassAcoustic,10,1,1,0.001949318,2/10/15,-27.4235,153.4295,512.9999313,NA,NA,NA,0,0,0,0,3.243809945,0.324380994,1.025782772,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,137,22.7564139,F,117076811,Giant Shovelnose Moreton Bay,PassAcoustic,6,1,2,0.001949318,1/7/15,-27.4235,153.4295,512.9999313,NA,NA,NA,0,0,0,0,9.067670292,1.527082181,3.308728227,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,141,24.84416404,F,117076802,Giant Shovelnose Moreton Bay,PassAcoustic,4,1,1,0.001949318,1/7/15,-27.4235,153.4295,512.9999313,NA,NA,NA,0,0,0,0,3.243809945,0.463401421,1.226044916,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,155,33.1602483,F,117076805,Giant Shovelnose Moreton Bay,PassAcoustic,3,1,2,0.001949318,1/8/15,-27.4235,153.4295,512.9999313,NA,NA,NA,0,0,3.214805256,7.089125457,9.067670292,3.874320201,4.601489171,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,110,11.65074734,F,117076808,Giant Shovelnose Moreton Bay,PassAcoustic,5,1,1,0.001949318,1/8/15,-27.4235,153.4295,512.9999313,NA,NA,NA,0,0,0,0,3.243809945,0.463401421,1.226044916,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,127,18.05957157,F,117394019,Giant Shovelnose Moreton Bay,PassAcoustic,14,2,2,0.003898635,2/10/15,-27.4235,153.4295,513.0000628,NA,NA,NA,0,0,0,0,12.00137637,1.342114448,3.56149546,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,137,22.7564139,F,117394025,Giant Shovelnose Moreton Bay,PassAcoustic,152,11,3,0.021442495,3/10/15,-27.3387,153.3915,513.000003,NA,NA,NA,0,0,0,0,5.088931517,0.169634361,0.858207152,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,175,48.0144704,F,117394016,Giant Shovelnose Moreton Bay,PassAcoustic,85,11,2,0.021442495,2/11/15,-27.4235,153.4295,513.000003,NA,NA,NA,0,0,0,0,9.067670292,0.126922477,0.974585082,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,105,10.10958799,F,19979439,AATAMS / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA),PassAcoustic,17,4,4,0.028776978,2/27/08,-21.9688,113.939,139.000002,NA,NA,NA,0,0,0,0,2.214428965,0.323113885,0.66440056,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,163,38.66146332,F,117394013,Giant Shovelnose Moreton Bay,PassAcoustic,267,18,2,0.035087719,3/3/15,-27.4235,153.4295,513.0000044,NA,NA,NA,0,0,0,0,4.407014158,0.131399055,0.742168333,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,97.8,8.140284837,F,19979376,AATAMS / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA),PassAcoustic,44,7,5,0.039106145,2/25/08,-21.9688,113.939,179.0000012,NA,NA,NA,0,0,0,0,1.514301429,0.152998607,0.434099579,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,85.2,5.344989526,F,19979537,AATAMS / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA),PassAcoustic,159,25,8,0.040322581,2/27/08,-21.9688,113.939,619.9999945,NA,NA,NA,0,0,0,0,2.443734465,0.138938028,0.451552854,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,156,33.81708113,F,117394022,Giant Shovelnose Moreton Bay,PassAcoustic,460,22,3,0.04288499,3/10/15,-27.3387,153.3915,513.000003,NA,NA,NA,0,0,0,0,8.242709337,0.072457668,0.718384999,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,148,28.80078508,F,117394031,Giant Shovelnose Moreton Bay,PassAcoustic,474,26,4,0.050682261,3/31/15,-27.3387,153.3915,513.0000021,NA,NA,NA,0,0,0,0,10.96925668,0.083361093,0.684059998,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
Glaucostegus_typus,119.1,14.84694046,F,19979528,AATAMS / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA),PassAcoustic,50,2,8,0.054054054,2/27/08,-21.9688,113.939,37.00000004,NA,NA,NA,0,0,0,0,3.478878064,0.330892979,0.863521588,B,Omnivore,Invertivore,batoids,Batoidea,Rhinopristiformes,Rhinobatidae,Glaucostegus,Glaucostegus_typus,Glaucostegus typus,165,270,40,0.01,3.04,Shelf,Coastal and Continental,1,100,50.5,99,-32.13804106,24,56.13804105,6031280,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,NA,NA,33.22661459,VU,rhinobenthic,rhinobenthic,benthic,LB
